developer,Negative,Neutral,Positive
Hosted Games,1,0,2
Hostel Games,1,0,1
Hothead Games,3,0,1
House On Fire,0,0,1
House of Tales,0,0,1
Housemarque,0,0,1
Humble Hearts LLC,9,3,28
Humongous Entertainment,2,2,11
HuniePot,12,11,23
Hunted Cow Studios,1,0,5
Hydravision Entertainment,0,0,4
Hyper Hippo Games,23,52,61
HyperSloth,4,0,1
Hypercane Studios,1,0,0
Hörberg Productions,0,1,3
I Fight Bears,1,0,1
ICE Entertainment,1,0,8
"IDEA FACTORY Co., Ltd.,COMPILE HEART Co., Ltd.,FELISTELLA Co., Ltd.",3,5,21
IDHAS Studios,0,0,1
IF Studios,1,0,0
"IMCGAMES Co.,Ltd.",6,7,10
IMGN.PRO,1,0,0
IO Entertainment,0,1,1
IO Interactive,2,1,5
"IO Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",4,2,14
IPACS,0,0,1
ISOTX,0,0,1
Ian Campbell,2,0,7
Ice Water Games,4,3,8
Ice-Pick Lodge,1,0,3
"Ice-Pick Lodge,General Arcade",0,1,0
Icetesy SPRL,3,0,5
Idea Factory,2,2,4
"Idea Factory,Compile Heart",1,3,2
"Idea Factory,Compile Heart,Felistella",2,6,3
"Idea Factory,Compile Heart,Sting",1,0,0
"Idea Factory,Compile Heart,Tamsoft",1,1,1
"Idea Factory,Design Factory",0,0,1
Idigicon,1,0,2
Idol FX,2,1,0
Igry.ru,0,0,1
"Iguana Entertainment,Nightdive Studios",1,0,1
IllFonic,0,0,1
Illwinter Game Design,0,0,1
Imaekgames [Imaek Limited],1,0,0
Image &amp; Form,0,0,3
Immersive Douro,0,1,0
Incandescent Games,1,0,0
Inferno Games,1,0,0
Infinite Interactive,1,0,2
Infinite Monkeys Entertainment Ltd.,0,0,1
Infinity Plus 2,0,0,2
Infinity Ward,32,17,50
"Infinity Ward,Aspyr (Mac)",21,28,62
Ink Stains Games,0,0,1
Innocent Grey,0,0,1
Ino-Co,0,0,1
Ino-Co Plus,0,1,2
Instant Kingdom,1,0,1
Insurgency Development Team,1,1,2
InterAction studios,1,1,0
Interceptor Entertainment,1,1,6
Interdimensional Games Inc,0,2,1
Interplay Inc.,1,3,3
Introversion Software,28,17,77
Invent4 Entertainment,37,25,45
InvertMouse,1,1,12
"Invictus-Games LLC.,ImageCode LLC.",0,0,1
Io-Interactive A/S,3,6,12
"Io-Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",0,0,1
"Io-Interactive A/S,Feral Interactive (Mac)",11,14,48
Ion Storm,4,3,15
IonFX,0,0,1
IonFx,1,0,0
Iridium Studios,0,0,6
"Iron Galaxy Studios, LLC",2,2,2
Iron Tower Studio,0,0,2
"Ironclad Games,Stardock Entertainment",7,0,19
Ironhide Game Studio,3,1,12
Ironsun Studios,0,0,1
Irrational Games,1,0,0
"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",37,49,181
"Irrational Games,Looking Glass Studios",4,0,3
Italic Pig,0,0,1
Ivan Zanotti's MyMadness Works,0,1,2
Ivory Tower in collaboration with Ubisoft Reflections,4,8,6
JAVELIN OÜ,0,1,0
JCKSLAP,1,4,0
JDM4iK,4,1,10
JE Software,1,0,0
JForce Games,2,2,11
JIW-Games,1,2,3
"Jackbox Games, Inc.",0,0,5
Jae Lee Productions,0,1,0
Jagex,0,0,1
Jagex Limited,42,34,70
"Jagex,Artplant",16,14,18
Jarhead Games,1,0,0
Jason Oda,0,0,1
Jason Rohrer,1,1,0
Jasper Byrne,0,0,2
JetCat Games,1,0,1
"Jetdogs Studios,Zoom Out Games",2,2,2
Jimbob Games,1,0,0
JoWooD Vienna,1,0,0
Johannes Eski,2,2,3
John Cullen,0,0,1
John Szymanski,0,1,0
John Wizard,1,0,0
Jon Gallant,0,0,2
Jon Sudbury Games,0,0,1
Jonathan Wood,0,1,2
Josh Koenig (Slashandz),0,0,1
Joshua Neurnberger,0,0,1
Joycity,4,6,5
Juicy Beast Studio,1,0,0
Jujubee S.A.,0,0,1
JumpCore Productions,0,0,2
"JumpStart Games, Inc.",4,2,4
"Jundroo, LLC",5,1,6
"Jurlo,JetPackGone",0,0,2
"Just Add Water (Developments), Ltd.",0,0,4
K Bros Games,0,0,2
KADOKAWA,1,2,7
KADOKAWA GAMES / GRASSHOPPER MANUFACTURE,1,0,4
"KADOKAWA,Yoji Ojima",0,0,2
KHB-Soft,0,0,1
KING Art,0,0,1
KITATUS STUDIOS,2,0,0
KIXEYE,1,1,0
"KOEI TECMO GAMES CO., LTD.",5,7,9
KOG,13,6,11
Kalypso Media Digital,1,0,0
Kaos Studios,0,0,1
"Kaos Studios,Digital Extremes",2,0,5
Katapult,1,0,0
Katauri,0,1,6
Katauri Interactive,0,0,1
Keen Games,3,1,3
Keen Software House,5,3,8
Keinart Lobre,0,1,1
Kerberos Productions,1,0,0
Kerberos Productions Inc.,0,0,1
Kew McParlane,0,1,0
Key17 Games,0,1,0
Kheops Studio,1,0,0
Kiddy,1,0,0
KillHouse Games,2,1,7
Killmonday Games AB,0,0,2
Kinelco &amp; Lone Elk Creative,3,1,1
KintoGames,2,0,2
Kitfox Games,0,0,2
Kittehface Software,1,0,0
Klace,1,0,0
Klei Entertainment,26,30,102
"Klei Entertainment,Capybara Games",3,0,5
Kloonigames,0,0,2
Knuckle Cracker,0,0,3
"Koboldgames,Daedalic Entertainment",0,0,1
Koga Tech Limited,0,0,3
Kojima Productions,2,2,16
Konami Digital Entertainment,26,18,29
Konsordo,2,2,2
Konstantin Koshutin,1,2,2
Kot in Action Creative Artel,0,1,0
Krillbite Studio,21,20,44
Krome Studios,1,1,3
Kronosaur Productions,1,0,0
Kudosoft,0,0,3
Kukouri,1,1,2
Kumobius,0,0,2
Kuno Interactive,1,0,0
Kyle Seeley,46,47,78
Kylotonn Entertainment,0,0,1
Kylotonn Racing Games,1,0,0
LDC Studios,0,0,1
LGK Games,0,0,1
LUCKY GIRLS LIMITED,0,0,1
LWNA,0,0,3
Lab Zero Games,10,28,32
Labyrinthine,0,1,2
Lag Studios,9,4,11
"Lamina Studios,Mike Studios",0,0,3
Laminar Research,0,0,3
Landfall,0,0,5
Landon Podbielski,4,6,7
Lapovich,1,0,0
Larian Studios,3,8,12
"Laser Guided Games, LLC",0,0,1
Last Day of Work,0,0,1
Last Dimension,0,0,1
Last Limb LLC,0,0,1
Lavaboots Studios,2,0,1
Lazy 8 Studios,0,0,2
Lazy Bear Games,0,0,3
Lazy Bum Games,0,0,1
Lazy Monday Games,0,0,3
League of Geeks,1,1,5
Legend Studio,0,0,1
Lemondo Entertainment,0,0,1
Lemonsucker Games,0,0,1
Lesley Dodd,1,1,0
Lesta Studio,2,0,0
"Level Up Labs, LLC",0,0,3
Liar-soft,0,0,1
Lightbulb Crew,0,1,1
Lighthouse Games Studio,0,0,2
Lightmare Studio,1,0,0
Lightmare Studios,1,0,5
Limasse Five,0,0,1
Limbic Entertainment,3,0,1
Lino Slahuschek,3,5,9
"Lion Game Lion,OVERKILL - a Starbreeze Studio.",0,3,8
Lion's Shade,0,0,3
Lionhead Studios,5,4,17
Lionheart Creations,0,0,1
Little Big Lee,0,0,1
Little Freedom Factory,0,0,1
Little Green Men Games,3,1,2
Locomotivah,1,0,1
Logic Artists,0,0,1
Lonely Troops,1,0,2
Looking Glass Studios,1,1,5
Lord Kres,2,3,3
Loren Lemcke,0,0,1
Lost Decade Games,0,0,1
Love Conquers All Games,1,0,5
LuGus Studios,1,0,3
"Luc Bernard,SilverSphereStudios",0,1,0
LucasArts,7,4,18
"LucasArts,Aspyr Studios",4,2,3
Lucasfim,0,1,0
"Lucid Games,Aspyr (Mac &amp; Linux)",1,0,2
Lucky Frame,0,1,0
Ludeon Studios,6,0,7
Ludosity,1,2,1
"Ludosity,Remar Games",1,0,2
Luke Cripps,1,0,1
Lukewarm Media,7,1,17
Lunar Giant,1,0,0
"M2 Co.,LTD",1,0,2
"M2H,Blackmill Games",22,19,61
MAGES. Inc.,1,1,2
MAGIX Software GmbH,0,0,1
MEGAFUZZ,2,1,0
MOONSTONE,0,0,1
MR-Software GbR,2,0,6
MURA Interactive,1,0,2
Machine 22,1,0,0
Machine Games,9,6,33
MachineGames,2,0,6
MachineSpirit,0,0,1
"Maciej Targoni,Wojciech Wasiak",3,2,10
Mad Otter Games,4,1,4
Madruga Works,2,0,4
Magic Notion,0,0,1
MagicalTimeBean,0,0,1
Malfador Machinations,0,0,2
Mana Games,0,0,1
Manic Game Studios,1,0,1
"Manuel Pazos,Daniel Celemín",0,0,1
Marie Ronnaux Games,1,0,0
"Mario von Rickenbach,Michael Frei",3,5,6
Martin Ivanov,1,0,2
"Marvelous, Inc.",1,0,0
Marxnet,0,1,1
"Masangsoft, Inc.",16,17,19
Maschinen-Mensch,0,1,0
"Massive Damage, Inc.",0,0,1
Massive Entertainment,10,13,18
Masthead Studios Ltd,3,1,2
"Matt Kap,Nicalis, Inc.",0,0,1
Matt Roszak,1,2,6
Matt Thorson,1,1,2
Matthew Brown,3,1,8
Matthew C Cohen,0,0,1
Maxime Vézina,0,1,2
Maxis™,4,11,23
Mechanist Games,3,2,1
"Mediatonic,Hato Moa,The Irregular Corporation",3,2,6
"Mediatonic,The Irregular Corporation",0,0,1
Megadev,2,1,5
Memetic Games,1,0,1
MercurySteam,1,1,1
MercurySteam - Climax Studios,0,0,1
Meridian4,4,1,3
Messhof,5,5,16
Metanet Software Inc.,0,1,0
Meteoric Games,1,0,0
Michael Flynn,0,0,1
Michael Todd Games,3,1,12
"Michael Todd Games,Yazar Media Group LLC",0,0,1
Michael Zahniser,1,0,5
Michaela Laws,0,2,4
"MicroProse Software, Inc",3,0,5
Microblast Games,7,7,13
Microsoft Game Studios,1,0,13
"MidBoss, LLC.",1,0,0
"Midgar Studio,Fusty Game",0,0,3
Might and Delight,4,4,8
Mighty Rabbit Studios,0,0,3
"Mighty Rabbit Studios,Gun Media",0,0,1
"Mighty Rabbit Studios,Gun.",1,0,3
Mighty Rocket Studio,0,0,1
Mihai Morosanu,1,0,0
"Milan Kazarka,Jeroen van Oosten",1,0,2
Milestone S.r.l.,1,0,7
Milkstone Studios,2,2,7
Mimimi Productions,0,0,2
MinMax Games Ltd.,1,1,4
Mindstorm Studios,0,0,1
"Mine Loader Software Co., Ltd.",4,4,12
MiniBoss,1,1,6
Minor Key Games,5,3,17
Minority Media Inc.,0,0,3
Minskworks,1,0,1
Mint Age Studios,3,0,5
Mirillis,0,1,2
Mirko Seithe,0,0,1
Misfits Attic,1,1,1
"Mithis Games,THQ Nordic",0,0,1
Mixamo,0,0,3
MoaCube,0,0,1
MobileBits,1,0,0
Mode 7,2,1,7
Modern Dream,2,0,5
MoeNovel,1,2,2
Mohawk Games,2,0,3
Mojang,0,1,0
Mokus,1,0,0
Moment Studio,1,0,0
Mommy's Best Games,1,0,1
Monkeys Tales Studio,0,0,1
"Monochrome, Inc",14,8,29
Monolith,2,1,0
Monolith Productions,0,1,1
"Monolith Productions, Inc.",13,38,42
"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",1,1,4
"Monolith Productions, Inc.,Timegate",0,3,5
"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",25,12,67
Monomi Park,2,1,18
Moon Studios GmbH,1,5,30
Moonlite Software,0,0,1
Moppin,3,0,2
Mossmouth,7,4,16
Most Wanted Entertainment,0,0,1
Mouldy Toof Studios,10,13,25
Mountain Sheep,0,0,1
MovingBlocks,0,1,1
Mr. Blue,1,1,3
MuHa Games,0,0,1
Murudai,0,0,6
Muse Games,16,10,54
Muzzy Lane Software,0,0,2
Myrtilus Entertainment,0,0,1
Mystic Games,0,0,1
N3V Games,0,0,4
NAMCO,0,1,3
NAMCO BANDAI Games,2,0,0
NEXON Korea Corp.,5,0,4
NGD Studios,1,6,4
NIGORO,1,0,1
NIKITA ONLINE,0,0,2
Nabi Studios,23,16,47
Nacho Games,0,1,1
Nadeo,5,6,23
Naiad Entertainment LLC,0,1,0
Nate Schmold,1,0,1
Nauris Amatnieks,0,0,1
Ndemic Creations,10,11,27
Necrophone Games,7,2,13
Nekki GmbH,1,0,1
Neko Entertainment,0,0,1
Nemesys Games,1,0,1
NeoCoreGames,1,0,1
Neoclassic Games,0,0,1
NeocoreGames,0,4,3
Neople,0,0,1
Nerd Kingdom Inc.,0,1,1
Nerdook Productions,0,1,0
Nerial,0,0,2
Net Games Laboratory,3,2,0
Netcore Games,3,0,2
NetherRealm Studios,0,1,1
"NetherRealm Studios,High Voltage Software",25,24,36
Netmarble Games,0,0,1
Never Don't Play,0,0,1
Neversoft,1,0,0
New World Interactive,41,50,131
Nexon,37,30,55
"Nicalis, Inc.",28,36,88
"Nicalis, Inc.,Edmund McMillen",4,6,13
Nickervision Studios,0,1,5
Nicolas Bernard,0,0,2
Niffler Ltd.,1,0,0
Night Node,1,0,5
Night School Studio,0,0,2
Nihon Falcom,2,0,5
Nikita,0,0,1
Nimbly Games,3,0,4
"Nina Freeman,Emmett Butler,Decky Coss,Joni Kittaka",2,4,5
"Nina Freeman,Laura Knetzger,Stephen Lawrence Clark",2,0,0
Nine Dots Studio,0,0,1
Ninja Kiwi,1,6,7
Ninja Robot Dinosaur,0,0,1
Ninja Theory,4,4,15
Nival,2,3,4
No Brakes Games,1,0,1
No More Room in Hell Team,61,80,150
"Noah System,Mgame",1,2,2
Noble Empire Corp.,5,6,23
Noble Master LLC,0,0,1
Nocturnal works,0,1,0
Noio,1,0,2
"Noio,Licorice",4,1,8
Nom Nom Games,1,1,3
Nomad Games,6,2,8
North of Earth,1,0,3
"Northway Games,Sarah Northway",0,1,1
NotGames,2,7,8
Noumena Studios,0,0,1
"Nova Dimension,Naga Entertainment",1,1,1
NovaLogic,0,0,2
Novel Tea Games,0,0,1
"Noviy Disk,Lesta Studios Inc",1,0,0
Numantian Games,0,0,1
Number None,3,0,4
Numinous Games,1,0,1
Nvizzio Creations,1,0,4
Nyamyam,0,0,1
OCCA Studios,0,0,1
"OCR Dev Team,Onur Uça",0,0,2
OVERDRIVE,3,2,10
OVERKILL - a Starbreeze Studio.,10,32,44
OVERKILL Software,25,45,80
Obsidian Entertainment,45,72,176
"Obsidian Entertainment,Aspyr (Mac, Linux, &amp; Windows Update)",1,0,12
Octoshark Studios,1,4,7
Oddworld Inhabitants,4,2,22
Odin Game Studio,2,2,7
Offworld Industries,8,3,17
OhNoo Studio,0,0,1
Old B1ood,0,0,2
Old School Games,1,1,7
"Olde Sküül,Sculptured Software",0,0,1
"Oleg Sergeev,Andrey Rumak,Do My Best",0,0,1
"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",1,0,7
Omniconnection,0,1,2
On The Level Game Studios,0,0,1
Onson Soft,1,0,1
Oovee® Game Studios,14,5,21
Opus,2,1,6
"OrangeGames,YoudaGames",0,1,2
Orange_Juice,7,5,5
Orbital Knight,0,0,1
Oreol,0,1,1
Organic Humans,1,0,1
Orion Games,1,0,0
Orlyapps,1,1,3
Orthogonal Games,0,0,1
Oryx Design Lab,0,1,0
Oscar Brittain,0,0,2
Ostrich Banditos,1,1,3
Osumia Games,3,3,5
Other Ocean Interactive,0,1,0
Outerlight Ltd.,8,7,15
Outerminds Inc.,0,0,2
Over The Moon,4,0,5
Over the Top Games,1,0,2
Overhype Studios,0,0,1
Owl Cave,1,0,0
Owlbear,0,0,1
Owlchemy Labs,0,2,3
Oxeye Game Studio,0,1,2
Oxide Games,0,0,2
PERFECT PARALLEL,1,0,0
PIXOWL INC.,1,2,0
PIXYUL,0,0,1
Pandemic Studios,17,20,63
Panzer Gaming Studios,1,0,0
Paradox Development Studio,52,26,103
Parallaxian Pty Ltd,1,0,1
Passtech Games,0,0,1
Pathea Games,0,2,7
Paul Bird,0,0,1
Paul Fisch,4,3,8
Payload Studios,3,0,9
Peach Pie Productions,0,0,1
Peacock Dreams Games,0,0,1
Pencil Test Studios,0,0,1
PestoForce,0,0,2
Peter Brinson and Kurosh ValaNejad,0,0,1
Peter Moorhead,0,0,1
Petit Depotto,0,0,1
Petroglyph,1,0,10
Phenomenon Games,0,0,2
Phigames,0,0,2
Phoenix Game Studio,1,0,0
Phoenix Online Studios,0,0,1
Phoenix Studio,0,1,0
Phosphor Games Studio,22,15,41
Photon Arena,0,0,1
Phr00t's Software,2,1,4
PiGravity,2,2,1
Pieces Interactive,1,4,4
"Pilgrim Adventures,GrabTheGames Studios",1,0,0
PillowPigGames,1,0,0
"Pinokl Games,Kverta",0,1,4
Pinterac,0,1,2
Pipeworks Studio,0,0,1
Piranha Bytes,2,0,4
Piranha Games Inc.,2,0,4
"Pirozhok Studio,Vitaliy Ruzankin",1,0,0
Pivotal Games,0,0,1
Pixbits,0,0,2
"Pixel Dash Studios, EQgames",1,3,7
Pixel Federation,0,0,1
Pixel Ferrets,0,0,4
PixelFade Inc,0,1,1
PixelTail Games,3,1,5
Pixeljam,1,2,1
PlatinumGames,4,9,19
PlayFlock,2,0,0
PlayWay S.A.,0,1,0
Playata GmbH,1,0,0
Playbrains,1,1,0
Playdead,7,9,17
Playsaurus,21,32,45
PlazSoft,1,0,0
Plethora-Project LLC,0,0,1
Pocketwatch Games,7,9,28
Point Five Projects,0,1,0
Polar Motion,1,0,0
"PolarityFlow,Adrian Zingg",0,0,1
PolyKid,0,0,1
PolyPusher Studios,1,0,0
Polytron Corporation,7,4,21
"PopCap Games, Inc.",10,9,14
"PopTop Software,BreakAway Games,Frog City Software",1,0,0
Poppermost Productions,7,1,20
Portalarium,1,0,1
Positech Games,4,8,14
PostMod Softworks,0,0,2
Power of 2,5,8,13
Powerhoof,1,0,3
Praxia Entertainment Inc,1,0,0
Press Play,0,0,1
Pribuni,1,0,0
Primal,0,0,1
Priority Interrupt,1,0,5
Prism Game Studios Ltd.,3,2,22
ProjectorGames,7,0,2
Prospect Games,0,1,0
Proton Studio Inc,1,3,12
Proxy Studios,0,0,1
Psychic Software,2,1,2
"Psyonix, Inc.",51,65,166
Puny Human,3,4,10
Puppygames,1,1,6
Pwnee Studios,1,0,0
Pyro Studios,2,0,5
Q-Games Ltd.,0,1,0
QCF Design,0,1,2
QUICKTEQUILA,3,2,2
"QUICKTEQUILA,Calum Bowen",0,0,1
Qooc Software,1,2,1
Quantic Dream,0,0,1
Quantized Bit,1,0,0
Quantumfrog,0,1,0
Question,0,0,2
Quickfire Games,1,0,1
Qwiboo Ltd,1,0,0
REMIMORY,0,0,3
REX,0,0,1
Racing Bros,2,1,3
"Radial Games Corp,Dejobaan Games, LLC",0,0,5
"Radial Games Corp,Loren Bednar,Dr. Kimberly Voll,Lindsay Jorgensen",1,0,4
Radiant Entertainment,1,1,7
Radical Entertainment,2,3,10
Radical Fish Games,0,0,5
RageSquid,1,0,0
Ragequit Corporation,5,4,8
Ragiva Games e.K.,0,0,1
Rail Slave Games,6,5,3
Rain Games,1,0,0
Rainbow Games,0,0,1
"Rainbow Studios,THQ Nordic",1,0,2
Rake in Grass,1,0,3
Raptor Claw Games,2,0,0
Ratloop Asia,2,1,1
"Raven Software,Aspyr (Mac)",2,6,9
Raven Travel Studios,0,0,1
Raylight Games,1,0,0
Razorworks,0,1,3
Razvan,0,1,0
Re-Logic,107,153,469
Reactor Zero,0,0,1
Reakktor Studios,3,0,4
Real Dynamics,0,1,0
Reality Pump,2,1,2
Reality Pump Studios,2,2,5
Realmforge Studios,0,1,3
Rebellion,29,31,104
Recoil Games,1,0,4
Red Abyss Software,0,0,1
Red Barrels,30,21,36
Red Duck Inc.,4,3,3
Red Dwarf Games,2,0,4
Red Hook Studios,15,7,16
Red Nettle Studio,0,0,1
Red Storm Entertainment,1,1,0
"Red Storm Entertainment,Ubisoft Montreal",0,0,1
Red Team Games,0,0,3
Red Thread Games,0,1,3
"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",1,0,3
Redlynx,0,0,1
"Redlynx Ltd,Ubisoft  Shanghaï",5,2,4
Redshift,0,0,1
Redwood Games,0,0,1
Reentry Games,0,1,0
Reflect Studios,5,0,0
Reflextions,0,0,1
Reiza Studios,2,3,2
Relic,3,2,9
Relic Entertainment,9,13,38
"Relic Entertainment,Europe at War Development Team",0,1,0
"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",10,23,55
"Relic Entertainment,Feral Interactive (Mac/Linux)",5,7,15
"Relic Entertainment,THQ Nordic",0,0,1
Reloaded Productions,37,46,79
Remedy Entertainment,7,3,27
Renegade Kid,1,0,0
Reperio Studios,1,2,1
Replay Studios,0,2,1
Reto-Moto,56,42,138
Retro Army Limited,0,0,1
Retro Yeti Games,1,2,3
Retroism,0,1,0
Retronic Games,0,0,1
Reverie World Studios,1,2,7
Revolution Software Ltd,1,0,2
Rhaon Entertainment,1,1,0
Richard Seabrook,0,0,1
Rising Star Games,2,0,0
Rising Sun Interactive,0,0,1
Rival Games Ltd,0,0,1
Rob Howland,0,0,4
RobTop Games,12,18,49
Robot Entertainment,12,17,33
Robot Gentleman,3,0,1
Robotronic Games,5,0,3
Rocket Bear Games,0,0,5
"Rocketeer Games Studio, LLC",8,1,13
Rockstar Games,7,21,34
Rockstar New England,5,4,18
Rockstar North,60,110,154
Rockstar North / Toronto,0,2,8
Rockstar San Diego,0,0,1
Rockstar Studios,7,10,29
Rocksteady,0,1,0
Rocksteady Studios,32,6,30
"Rocksteady Studios,Feral Interactive (Mac)",14,26,73
Rocktastic Games,0,0,1
"Rodeo Games,Twistplay",1,0,1
Rogue Entertainment,1,0,0
Rogue Factor,2,0,1
Rogue Snail,1,2,5
"Rogue Star,Boreal Sun,Spider,Deadman",1,0,0
Roll7,0,1,4
"Roll7,General Arcade",1,1,2
"Roman Anatolevich,Denis Ovsyannikov",0,1,0
Ronimo Games,24,24,107
Room710Games,1,0,2
Rooster Teeth Games,3,3,20
Rootify,0,0,1
Rovio Entertainment Ltd,0,0,2
Rsupport Inc.,0,0,3
Rubycone,2,0,1
"Rudolf Kremers &amp; Alex May,Tuna",0,0,1
RunServer,1,0,0
Rune Forge,1,0,1
Runic Games,17,16,56
Running With Scissors,30,26,40
Russpuppy,0,1,0
Rusty Lake,1,0,0
"S Houben,N Tailor,A Barnett",0,0,2
S.C. 16 BIT NIGHTS S.R.L.,1,0,3
S2 Games,2,2,5
"S2 Games, LLC",0,0,2
SANDLOT,0,0,4
SCS Software,36,30,73
SDEnterNet,1,1,0
SEGA,10,5,27
"SEGA Studios Australia,Feral Interactive (Mac)",1,0,0
SFB Games,0,0,5
SMG Studio,1,0,2
SNK CORPORATION,2,3,3
"SNK CORPORATION,Code Mystics",0,2,0
"SNK CORPORATION,DotEmu",3,7,8
STRIKEWORKS,0,1,2
STUDIO RADI-8,2,0,4
SUPERHOT Team,3,2,23
Saber Interactive,0,0,3
"Sachonski,Renamilanesi,Sith",1,0,1
Sad Panda Studios,0,1,4
Sakari Indie,0,0,1
Sakari Indie &amp; GriN,0,0,1
Sakura River Interactive,0,0,3
Sam Atlas,0,0,1
Sam Barlow,0,0,1
"Sami Maaranen (creator),Erkka Lehmus (co-designer)",0,0,1
Samurai Punk,0,1,6
Sandlot Games,0,0,1
Sandswept Studios,2,0,2
Santa Ragione,2,1,0
Sapphire Dragon Productions,1,1,1
Satsu,0,0,1
Sauropod Studio,4,0,6
Scarlet String Studios,1,0,1
Scary Bee LLC,1,0,0
"Schine, GmbH",1,0,4
Scirra,0,0,1
Scott Cawthon,69,54,101
Screwfly Studios,0,0,1
Sean Davy,0,1,0
Sebastian Nigro,0,0,1
Secret Base,1,0,0
Secret Exit Ltd.,9,4,13
Section Studios,4,5,12
Sector3 Studios,7,4,10
SecureMix LLC,0,0,1
SeeThrough Studios,0,0,1
Semaphore,2,1,2
Senscape,1,2,4
"Separate Game Development,Dagestan Technology",0,0,1
Serellan LLC,0,0,1
Serenity Forge,0,0,1
Serious Brew,0,0,1
Shadow Planet Productions,1,0,0
Shark Punch,1,0,2
ShaunJS,1,0,0
Shawn Beck,0,1,1
Sherman3D,1,0,0
Shield Break Studios,1,1,2
Shifty Chair Games,0,0,1
Shining Gate Software,0,0,1
Shining Rock Software LLC,15,7,39
Shiny Entertainment,0,0,1
Shiro Games,4,3,7
Shiver Games,3,1,4
"Shokunin,Thomas M. Visser,Vincent Thiele",0,1,8
Shorebound Studios,0,0,1
Shortbreak Studios s.c.,3,2,2
Shumkov Dmitriy,16,14,23
Siege Games,0,0,1
Sigma Team Inc.,2,0,0
Signal Studios,0,0,1
"Signal Studios,Krome Studios",2,0,1
"Signal Studios,Smart Ghost",4,2,6
Silesia Games Sp. z o.o.,1,0,0
Silk Games,1,0,0
Silver Dollar Games,17,6,23
Silver Wish Games,1,0,0
"Silverlode Interactive,Wasatch Games",1,0,0
SimBin,1,2,2
Simogo,3,1,3
Simon Roth,0,1,1
SionoiS,1,0,0
Sixense,3,0,0
Sixteen Tons Entertainment,1,0,4
Size Five Games,0,1,0
Ska Studios,0,0,4
Skatanic Studios,0,0,1
Sketchy Logic,0,0,2
Skinny Jean Death Studios,0,1,0
Skobbejak Games,1,0,1
Sky Drake Studios,1,0,1
Sky Fallen,0,1,0
"SkyBox Labs,Big Huge Games",3,3,12
"SkyBox Labs,Forgotten Empires",0,0,3
SkyGoblin,2,0,0
"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",16,23,58
Skyjaz Games,0,1,0
Slant Six Games,2,0,1
"Sledgehammer Games,Raven Software",27,11,37
SleepNinja Games,0,1,0
Sleepy Duck,0,0,1
Slightly Mad Studios,2,1,4
Sluggerfly,1,0,1
Smack Down Productions,0,1,0
Small Town Studios,0,1,0
Smartly Dressed Games,209,293,545
SmashGames,6,5,35
Smashball Labs LLC,1,0,0
Smoking WOLF,2,1,3
Smolders,0,1,1
Smoodlez,1,0,0
Smudged Cat Games Ltd,1,0,2
Snails Animation,0,1,1
Snapshot Games Inc.,1,0,3
SnoutUp,5,7,9
"SnowFlame,Back To Basics Gaming",0,1,0
Snowbird Games,1,0,1
Snowblind Studios,2,3,12
Soccer Manager Ltd,0,0,2
Social Loner Studios,0,0,1
SoftStar,0,0,1
Solest Games,0,1,0
"Soloweb Studios,Ravens Eye Studio",1,0,1
SomaSim,0,0,1
Sometimes You,1,2,1
Somi,1,1,1
Sonic Team,0,0,6
Sorath,3,2,5
Sos,5,4,8
Soul Forge,0,0,1
South East Games,3,3,12
Southend,0,0,1
Soviet Games,2,4,13
Space Boat Studios,0,3,2
Space Budgie,0,2,1
"Space Cat Studios,SnowFlame,Back To Basics Gaming",3,3,7
Spaces of Play,0,0,1
Spark Plug Games,1,0,1
Spark Unlimited,0,2,3
"Sparpweed,Codeglue",0,1,5
Spasman Games,2,4,11
Spearhead Games,1,1,4
Spectral Games,0,0,1
Spellbound Studios,0,1,0
Spicy Horse,0,0,1
Spicy Tails,0,1,2
Spicyhorse Games,0,1,2
Spiderling Studios,8,17,46
Spidermonk Entertainment,0,1,2
Spiders,1,1,1
Spiderweb Software,0,0,2
"Spike Chunsoft Co., Ltd.",0,0,2
"Spike Chunsoft Co., Ltd.,Abstraction Games",0,1,7
Splash Damage,43,33,100
Split Polygon,0,0,1
Spooky Squid Games Inc.,2,1,2
Sports Interactive,0,1,0
Sproing,0,0,2
Spry Fox LLC,0,1,0
Squad,17,30,90
Square Enix,14,13,68
Square Enix Montréal,0,0,1
"Square Enix,DotEmu SAS.",0,0,2
Stage 2 Studios,2,0,1
Stainless Games,5,5,12
Stainless Games Ltd,0,1,2
Stainless Games Ltd.,3,2,23
Stamina-Games,0,3,0
"Standing Stone Games, LLC",2,5,15
Star Gem Inc.,9,5,24
Star Maid Games,1,2,0
Star Vault AB,1,0,2
StarQuail Games,0,0,1
StarWraith 3D Games LLC,0,0,1
Starbreeze,2,3,3
